Seed,Model,Dataset,Accuracy,AUC
1810,SVC,Training,0.7,0.731875
1810,SVC,Test,0.625,0.6742424242424243
1810,MLPClassifier,Training,0.675,0.7287500000000001
1810,MLPClassifier,Test,0.725,0.7803030303030303
7089,LogisticRegression,Training,0.7,0.7481249999999999
7089,LogisticRegression,Test,0.6976744186046512,0.7402597402597403
7089,RandomForest,Training,0.9625,1.0
7089,RandomForest,Test,0.6976744186046512,0.7132034632034632
7089,GradientBoosting,Training,1.0,1.0
7089,GradientBoosting,Test,0.6744186046511628,0.698051948051948
7089,SVC,Training,0.675,0.7278125
7089,SVC,Test,0.6744186046511628,0.6904761904761905
7089,MLPClassifier,Training,0.7125,0.749375
7089,MLPClassifier,Test,0.6744186046511628,0.7402597402597403
7848,LogisticRegression,Training,0.7,0.746875
7848,LogisticRegression,Test,0.7631578947368421,0.8289855072463768
7848,RandomForest,Training,0.8375,0.9428125
7848,RandomForest,Test,0.6052631578947368,0.5579710144927537
7848,GradientBoosting,Training,0.725,0.84375
7848,GradientBoosting,Test,0.7368421052631579,0.7608695652173914
7848,SVC,Training,0.6875,0.67625
7848,SVC,Test,0.7631578947368421,0.7536231884057971
7848,MLPClassifier,Training,0.7,0.755
7848,MLPClassifier,Test,0.7368421052631579,0.8115942028985508
9803,LogisticRegression,Training,0.725,0.783125
9803,LogisticRegression,Test,0.6590909090909091,0.7010526315789475
9803,RandomForest,Training,0.85,0.9487500000000001
9803,RandomForest,Test,0.5681818181818182,0.6410526315789474
9803,GradientBoosting,Training,0.75,0.8528125
9803,GradientBoosting,Test,0.6363636363636364,0.6726315789473685
9803,SVC,Training,0.7125,0.7825
9803,SVC,Test,0.6590909090909091,0.6989473684210527
9803,MLPClassifier,Training,0.725,0.7825
9803,MLPClassifier,Test,0.6363636363636364,0.7010526315789474
8449,LogisticRegression,Training,0.55,0.6537499999999999
8449,LogisticRegression,Test,0.7804878048780488,0.8675000000000002
8449,RandomForest,Training,0.7875,0.9075
8449,RandomForest,Test,0.6097560975609756,0.69625
8449,GradientBoosting,Training,0.75,0.813125
8449,GradientBoosting,Test,0.6097560975609756,0.7375
8449,SVC,Training,0.7125,0.7446875000000001
8449,SVC,Test,0.6341463414634146,0.6000000000000001
8449,MLPClassifier,Training,0.7375,0.765625
8449,MLPClassifier,Test,0.6097560975609756,0.725
9303,LogisticRegression,Training,0.725,0.7575
9303,LogisticRegression,Test,0.6585365853658537,0.7368421052631579
9303,RandomForest,Training,0.8875,0.96625
9303,RandomForest,Test,0.6097560975609756,0.611244019138756
9303,GradientBoosting,Training,0.75,0.8521875
9303,GradientBoosting,Test,0.6585365853658537,0.6698564593301435
9303,SVC,Training,0.725,0.7575
9303,SVC,Test,0.6585365853658537,0.7392344497607656
9303,MLPClassifier,Training,0.6875,0.75375
9303,MLPClassifier,Test,0.6585365853658537,0.7559808612440191
3453,LogisticRegression,Training,0.7375,0.7875000000000001
3453,LogisticRegression,Test,0.6222222222222222,0.6699604743083004
3453,RandomForest,Training,0.775,0.906875
3453,RandomForest,Test,0.6,0.6067193675889329
3453,GradientBoosting,Training,0.7625,0.855
3453,GradientBoosting,Test,0.5777777777777777,0.6126482213438735
3453,SVC,Training,0.675,0.7553124999999999
3453,SVC,Test,0.5777777777777777,0.6383399209486166
3453,MLPClassifier,Training,0.7375,0.7943749999999999
3453,MLPClassifier,Test,0.6222222222222222,0.6620553359683794
