Seed,Model,Dataset,Accuracy,AUC
7651,GradientBoosting,Training,0.75,0.8396875
7651,GradientBoosting,Test,0.6590909090909091,0.7448275862068965
7651,SVC,Training,0.6875,0.7806249999999999
7651,SVC,Test,0.7045454545454546,0.7770114942528734
7651,MLPClassifier,Training,0.7,0.784375
7651,MLPClassifier,Test,0.6590909090909091,0.7655172413793103
2863,LogisticRegression,Training,0.6625,0.766875
2863,LogisticRegression,Test,0.6428571428571429,0.7022727272727273
2863,RandomForest,Training,0.8375,0.923125
2863,RandomForest,Test,0.6190476190476191,0.6193181818181818
2863,GradientBoosting,Training,0.95,0.98875
2863,GradientBoosting,Test,0.5714285714285714,0.6784090909090909
2863,SVC,Training,0.675,0.765625
2863,SVC,Test,0.5952380952380952,0.7
2863,MLPClassifier,Training,0.8375,0.936875
2863,MLPClassifier,Test,0.5238095238095238,0.5590909090909091
5149,LogisticRegression,Training,0.6125,0.755
5149,LogisticRegression,Test,0.6764705882352942,0.7301587301587302
5149,RandomForest,Training,0.825,0.933125
5149,RandomForest,Test,0.5882352941176471,0.5740740740740741
5149,GradientBoosting,Training,0.95,0.9934375
5149,GradientBoosting,Test,0.5882352941176471,0.6243386243386243
5149,SVC,Training,0.675,0.771875
5149,SVC,Test,0.5,0.7142857142857143
5149,MLPClassifier,Training,0.7875,0.8875
5149,MLPClassifier,Test,0.5588235294117647,0.5502645502645502
1121,LogisticRegression,Training,0.725,0.7781250000000001
1121,LogisticRegression,Test,0.6444444444444445,0.7244444444444444
1121,RandomForest,Training,0.775,0.9125
1121,RandomForest,Test,0.6444444444444445,0.6433333333333334
1121,GradientBoosting,Training,0.7625,0.87375
1121,GradientBoosting,Test,0.6444444444444445,0.6333333333333333
1121,SVC,Training,0.7,0.31500000000000006
1121,SVC,Test,0.6888888888888889,0.3077777777777778
1121,MLPClassifier,Training,0.7125,0.7818750000000001
1121,MLPClassifier,Test,0.6666666666666666,0.7244444444444444
7489,LogisticRegression,Training,0.675,0.718125
7489,LogisticRegression,Test,0.6976744186046512,0.8138528138528138
7489,RandomForest,Training,0.8125,0.88
7489,RandomForest,Test,0.6744186046511628,0.70995670995671
7489,GradientBoosting,Training,1.0,1.0
7489,GradientBoosting,Test,0.5348837209302325,0.5822510822510822
7489,SVC,Training,0.675,0.715625
7489,SVC,Test,0.7209302325581395,0.8116883116883117
7489,MLPClassifier,Training,0.7,0.7174999999999998
7489,MLPClassifier,Test,0.6744186046511628,0.8095238095238095
1780,LogisticRegression,Training,0.65,0.734375
1780,LogisticRegression,Test,0.7857142857142857,0.8222222222222223
1780,RandomForest,Training,0.85,0.9503125
1780,RandomForest,Test,0.6190476190476191,0.7246913580246914
1780,GradientBoosting,Training,0.975,0.99875
1780,GradientBoosting,Test,0.5714285714285714,0.6493827160493827
1780,SVC,Training,0.6125,0.265
1780,SVC,Test,0.7142857142857143,0.17901234567901236
1780,MLPClassifier,Training,0.675,0.743125
1780,MLPClassifier,Test,0.7380952380952381,0.8123456790123457
4685,LogisticRegression,Training,0.7375,0.77
4685,LogisticRegression,Test,0.6511627906976745,0.7402597402597403
4685,RandomForest,Training,0.8875,0.9612499999999999
4685,RandomForest,Test,0.6511627906976745,0.6774891774891775
4685,GradientBoosting,Training,0.9625,0.9987499999999999
4685,GradientBoosting,Test,0.5813953488372093,0.6396103896103897
4685,SVC,Training,0.725,0.7668750000000001
4685,SVC,Test,0.6511627906976745,0.7359307359307359
4685,MLPClassifier,Training,0.7125,0.7718750000000001
4685,MLPClassifier,Test,0.627906976744186,0.7186147186147186
6325,LogisticRegression,Training,0.7125,0.8018749999999999
6325,LogisticRegression,Test,0.5945945945945946,0.6458333333333334
6325,RandomForest,Training,0.775,0.9075
6325,RandomForest,Test,0.5945945945945946,0.6488095238095238
6325,GradientBoosting,Training,0.775,0.8631249999999999
6325,GradientBoosting,Test,0.5945945945945946,0.6011904761904763
6325,SVC,Training,0.75,0.794375
6325,SVC,Test,0.6216216216216216,0.6101190476190476
6325,MLPClassifier,Training,0.75,0.806875
6325,MLPClassifier,Test,0.5945945945945946,0.6339285714285714
121,LogisticRegression,Training,0.725,0.750625
121,LogisticRegression,Test,0.6428571428571429,0.7052154195011339
121,RandomForest,Training,0.7875,0.9043749999999999
121,RandomForest,Test,0.6190476190476191,0.6700680272108844
121,GradientBoosting,Training,0.7375,0.8153125000000001
121,GradientBoosting,Test,0.5952380952380952,0.7210884353741497
121,SVC,Training,0.725,0.745625
121,SVC,Test,0.6190476190476191,0.691609977324263
121,MLPClassifier,Training,0.725,0.7506250000000001
121,MLPClassifier,Test,0.6428571428571429,0.7029478458049887
7435,LogisticRegression,Training,0.75,0.7925
7435,LogisticRegression,Test,0.575,0.6842105263157895
7435,RandomForest,Training,0.8125,0.9187500000000001
7435,RandomForest,Test,0.6,0.6528822055137844
7435,GradientBoosting,Training,1.0,1.0
7435,GradientBoosting,Test,0.625,0.600250626566416
7435,SVC,Training,0.75,0.7925
7435,SVC,Test,0.575,0.6842105263157895
7435,MLPClassifier,Training,0.7625,0.795625
7435,MLPClassifier,Test,0.575,0.6766917293233083
5783,LogisticRegression,Training,0.7,0.75
5783,LogisticRegression,Test,0.7777777777777778,0.7759197324414716
5783,RandomForest,Training,0.9,0.97375
5783,RandomForest,Test,0.6666666666666666,0.6688963210702341
5783,GradientBoosting,Training,0.75,0.8278125000000001
5783,GradientBoosting,Test,0.6111111111111112,0.6488294314381271
5783,SVC,Training,0.7,0.7528125
5783,SVC,Test,0.7777777777777778,0.765886287625418
5783,MLPClassifier,Training,0.7,0.761875
5783,MLPClassifier,Test,0.75,0.765886287625418
3087,LogisticRegression,Training,0.6625,0.7050000000000001
3087,LogisticRegression,Test,0.7391304347826086,0.7859848484848485
3087,RandomForest,Training,0.7875,0.880625
3087,RandomForest,Test,0.6739130434782609,0.7452651515151515
3087,GradientBoosting,Training,1.0,1.0
3087,GradientBoosting,Test,0.6739130434782609,0.7698863636363636
3087,SVC,Training,0.675,0.30125
3087,SVC,Test,0.6956521739130435,0.24431818181818182
3087,MLPClassifier,Training,0.6875,0.7137500000000001
3087,MLPClassifier,Test,0.6956521739130435,0.7878787878787878
3665,LogisticRegression,Training,0.7125,0.7675000000000001
3665,LogisticRegression,Test,0.6842105263157895,0.7257617728531855
3665,RandomForest,Training,1.0,1.0
3665,RandomForest,Test,0.6052631578947368,0.6911357340720222
3665,GradientBoosting,Training,0.75,0.84125
3665,GradientBoosting,Test,0.6842105263157895,0.6759002770083102
3665,SVC,Training,0.7125,0.7675
3665,SVC,Test,0.6842105263157895,0.7285318559556786
3665,MLPClassifier,Training,0.675,0.7687499999999999
